"","D01.CEL","D02.CEL","D03.CEL","D04.CEL","D11.CEL","D12.CEL","D31.CEL","D32.CEL","D33.CEL","D71.CEL","D72.CEL","D73.CEL","D74.CEL","D121.CELL","D122.CEL","D123.CEL","D181.CEL","D182.CEL","D183.CEL","Symbol"
"100001_at",4.3313366999979,4.03680901136062,4.2258600491582,4.21816686437206,4.2432263207698,4.10819565975109,4.083487471783,4.02174656789679,4.10228357155895,4.3349779154372,4.0290448001153,4.1480610921625,3.98469050034742,4.03471884277154,4.07862234127953,4.20701944259136,4.15392500074966,4.4335460540537,4.21908087368274,"Cd3g"
"100002_at",6.53248522048229,5.21703629833212,5.06555708736297,5.00972247301334,5.35271550487161,4.82474831853665,4.88376917247443,4.94823088795714,5.16960748706168,5.78989609900113,4.95721660519489,5.00940833650255,5.10926968879104,6.82295220297029,5.10458197441037,5.18152307761304,4.92448160683687,5.13024532744581,5.13196424841469,"Itih3"
"100003_at",6.61344637071276,7.08410681319159,8.75467319681632,7.87407670778821,6.731772929176,6.11889933275149,5.77983490301776,5.95347372171605,6.89291330134523,5.3587763167579,5.69909904159789,8.15471747150959,7.65601348219072,8.01825502448795,5.40648578096843,5.74336603012991,6.77653377257849,6.37745428369542,6.96881124511021,"Ryr1"
"100004_at",5.59627871531441,5.55207864321627,5.77880878574972,5.66240363329079,5.51850079842721,5.65879656165226,5.41402734348132,5.63941921046912,5.60034628985191,5.6036046592297,5.63856028339849,5.83250301650905,5.56358906124637,5.53515697738626,5.74029406830741,5.60374664238587,5.5688991090819,5.62354336635563,5.83491516297563,"Ints7"
"100005_at",6.30420465913722,5.57719846324852,6.19726780811724,6.36272683073557,6.16980272254012,5.88989051235453,5.76987855605487,6.05778763633804,6.28907599972388,6.06753038858698,6.17113247373867,6.14128315173328,6.42713906746439,5.83736456594007,6.14561455868234,6.19333540280437,6.13758803448337,6.21627532718629,6.2132445654037,"Traf4"
"100006_at",3.00700276937013,2.83483974129191,2.99780701136943,2.87043118740391,3.16065637297317,3.03071819903975,3.2153998905708,3.14112605126096,3.12797270406494,3.07404476380355,3.13375821858115,3.3834051888228,3.35169190109649,3.25350378105295,3.14443742954259,3.37116074395705,3.16622686663309,3.00090059206333,3.25850338595908,"Cdh11"
"100007_at",6.46572180459924,6.239110811246,6.60936212777617,6.64210100215126,6.31344347987525,6.4337940230664,6.25243840054094,6.62094076059103,6.86985647036512,6.32105673192415,6.44888113737714,6.71646707536988,6.64941793274695,6.32315011021483,6.59536249006623,6.70182037547676,6.50604639081145,6.67390909968024,6.70413763823106,"Irf2bp1"
"100009_r_at",3.31015414256081,4.98294621865077,4.11406663468914,3.64671729911398,3.40850466243981,3.84344655782048,3.32075488891545,5.03949801796009,4.0722419624763,3.07433309760789,3.98941793959884,4.22047548754426,3.79582077218799,3.70025951112299,3.81475744921711,4.10561939618508,3.51817032456396,3.56334205458989,3.36318378157394,"Sox2"
"100010_at",4.78754274239857,4.80089414210736,5.08831535129168,4.81630864477591,4.85505377543643,4.7781826754932,4.80707492323934,4.9342440576105,4.91351926708985,4.78218648106462,4.99224007478435,4.64666444585625,4.94852865256584,4.729775227072,4.60650454677128,4.78567750793104,4.83357308660271,4.70205469813484,4.76660590373612,"Klf3"
"100012_at",9.71496760866895,9.70675491357299,9.54903644617151,9.88759998662529,9.61288177766584,9.88678034217522,10.3122565517116,9.496777040279,9.69819540575966,10.561187756888,10.0974131366816,9.74421527028159,9.91811408296687,9.93805190235837,9.7602339607792,9.54477364496194,9.7372450683282,9.93863116247484,10.1666002201121,"Laptm5"
"100013_at",8.24441014523053,7.71241029815385,7.6504805492492,7.75996161851009,7.94927925058821,7.68081432915489,8.16581750992981,7.64437129921107,7.03268582420602,7.87463111466001,7.69833790301811,6.95138930210354,6.53715045406245,7.96472684248008,7.08383117366915,6.96112899906004,7.66259917685825,7.66638838558668,7.34608759697659,"Ifi35"
"100014_at",3.94623658427433,4.30034589704419,4.13668559289841,4.06738178533345,4.345441054735,4.34355086227357,3.98815136643412,3.79342403771039,3.77295869097501,4.02943572349299,3.82872959258065,3.8501491898553,3.82579111937265,4.32441317564434,3.85054790228402,3.90404805025811,4.043820178563,4.10977272967931,4.11743862176936,"Tlk2"
"100015_at",5.2737762233377,5.07346065110605,5.48190385704375,5.38161318012865,5.35037702807098,5.08527057221091,5.07396172839178,5.35545128788642,5.31952166455804,5.34055961250344,5.39214240012996,5.56530330799256,5.76889005390645,5.06121790375872,5.36170257056808,5.25705481233953,5.00140661232869,5.15378996233364,5.51411288290811,"Yes1"
