"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mmp13",21.915911224613,6.35500274651105,13.370069089181,5.22766996419455e-11,1.6848780294599e-07,10.1841808458016
"Saa3",23.9070567951045,9.80881503954781,11.1381781263571,1.1003856297534e-09,1.77327144234761e-06,8.71866658232358
"Wisp1",10.5154002524098,5.68785489865929,9.78080013202052,8.87625724461683e-09,9.53605903313335e-06,7.56819196448001
"S100a8",15.2081369534328,8.25033987508883,9.60313907284691,1.18411463137328e-08,9.54100364229017e-06,7.40014921468595
"Clec4d",16.4211361678119,7.20329117674892,9.11442757992917,2.66670349595644e-08,1.71895707349352e-05,6.91497431897841
"Mmp3",17.4095708520609,9.3311189476707,8.94153668642624,3.5784113983371e-08,1.92220332280674e-05,6.73497757493649
"Crabp2",12.4663303973589,5.59491924531288,8.69764613691377,5.45224269659626e-08,2.51036831587568e-05,6.47334484189936
"S100a9",16.4579975554506,8.29218084619895,8.21883658567643,1.27381014694793e-07,5.12046016425322e-05,5.93247034735784
"Cxcl2",13.7712409558061,5.36937822348168,8.15489223505975,1.42985235737757e-07,5.12046016425322e-05,5.85742402439149
"Slfn4",11.7610483555437,6.7357542678132,7.97806164315916,1.97371600157122e-07,5.84493885141625e-05,5.64635314942143
"Slpi",12.6315966485395,9.85261032905827,7.94104896518487,2.1125782759521e-07,5.84493885141625e-05,5.60150966946984
"Il1rn",14.2796240802331,6.37903834025742,7.92492488435946,2.17621055591049e-07,5.84493885141625e-05,5.58190181000018
"C1qtnf3",17.8715136014064,6.98298561394824,7.17475241923911,8.99483303711491e-07,0.000223002668297087,4.61996591105522
"Tnc",9.50219574356937,7.14898348402759,6.79239190010363,1.90899638129574e-06,0.000439478238351155,4.09126588637875
"Retn",-8.91033814487907,7.3081829210013,-6.4011550239089,4.20788988782474e-06,0.000851619064909819,3.52288875237149
"Il1b",12.213260641654,6.12187714857894,6.39885896105401,4.22770866849429e-06,0.000851619064909819,3.51947111509872
"Timp1",9.39766833053343,11.4430024493203,6.32639592408512,4.90528126321799e-06,0.000929983618314799,3.41112111346407
"Camp",8.40507445606062,8.0218445619161,6.00483581834728,9.56619447283202e-06,0.00171288026588542,2.91890047127086
"Tnfaip6",7.90665919454715,3.66555055803607,5.97772029166812,1.01265954962948e-05,0.0017177903833978,2.87654930854419
"Acod1",9.75095449608101,4.43121685519879,5.90687483905829,1.1755768713738e-05,0.00189444212821888,2.76528382807741
"Car8",-6.53123543769957,4.20257635394257,-5.78801553698551,1.51201553567339e-05,0.00232058384355968,2.57663202696271
"Spp1",11.2421671563323,9.99356550635649,5.76197458419435,1.59810253290453e-05,0.00234122021070514,2.53497174143286
"Lyve1",-12.3559446184862,5.90900564617003,-5.67286462159055,1.93270500597621e-05,0.00266392701320505,2.39152951768034
"Cxcl5",14.4926242092663,6.35646058162349,5.66069456467484,1.98368750595474e-05,0.00266392701320505,2.37183354770992
"Emb",6.57684073209727,6.62366673480377,5.52683023509313,2.64454377144761e-05,0.00340934583015026,2.15353460946984
"Fxyd2",-6.85172576496862,7.10316614895386,-5.40103378359127,3.47148319426356e-05,0.00421649017432149,1.94567524870775
"Adam8",6.18326681244308,6.83183519797311,5.3930349349247,3.53227535546635e-05,0.00421649017432149,1.932370971576
"Basp1",7.33893869598909,7.45121171118415,5.31992073154689,4.14104808022286e-05,0.0047666421294851,1.81028536971849
"Dio2",6.77819306678939,7.00075250136431,5.2639501360603,4.67888292627981e-05,0.00520001367979305,1.71625209500993
"Plin4",-7.64536729465299,6.14764045315322,-5.10033680017545,6.69836479990102e-05,0.00719627658336033,1.43859783838122
"Cfd",-8.39293592409302,11.1325715838506,-5.0642259116864,7.25297610792504e-05,0.00754075548252981,1.37677483432773
"Cp",-10.7947040411236,8.48261213481901,-4.96931322877451,8.94486688626431e-05,0.00900915811700933,1.21337891792634
"Hspa1a",-6.60381120495451,7.46799952641066,-4.95356048553071,9.26235548257881e-05,0.00904623385465197,1.18613593059303
"Cd52",6.71083892266918,7.7042567279976,4.92061951076822,9.96386552332026e-05,0.00944451645572968,1.12905562114506
"Adipoq",-10.43691591396,10.5509803256772,-4.89591364376597,0.000105253085662201,0.00944451645572968,1.0861470018154
"Car3",-7.42167263212851,10.4627831435214,-4.89488980005459,0.000105492582192451,0.00944451645572968,1.08436701314886
"Smoc1",6.19014298808012,7.75786855471557,4.83728166420448,0.000119901299753594,0.0104443753812387,0.983985678044564
"Kazald1",-7.8085155754646,6.44744999305787,-4.80993698542946,0.000127426012073503,0.0108077378134974,0.936183743859909
"Tnfsf11",7.31096260581546,4.58290118536625,4.75447985694745,0.00014419437695398,0.0115699891102021,0.838940397714
"Cidec",-9.43140614842575,5.40542202441305,-4.74850144057408,0.000146131041471913,0.0115699891102021,0.828433937470687
"Itih5",-9.66035350852964,7.70614729611646,-4.74528889461541,0.000147182610461771,0.0115699891102021,0.822786357521401
"Chad",-6.46918588713059,7.34687823733972,-4.66299399474684,0.000176905437139356,0.0135753862833368,0.67767969680007
"Gsn",-7.93891396923422,10.3759263223442,-4.60147635909274,0.00020304546895585,0.0152189661963885,0.568679972883647
"Klf5",-5.863585849243,5.94497878122553,-4.58242577030799,0.000211909496264541,0.0155223706013776,0.534837006161603
"Ngp",8.37216585209055,6.69192366030429,4.56165893109378,0.000222019377797372,0.0159015212142429,0.497898800387972
"Adig",-6.69988104664772,5.69751046880136,-4.5422454393415,0.000231911847501064,0.0161479391990832,0.463324756644997
