"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Gm10561",3.81072883136889,6.58815659238533,6.71310157599655,1.89130196399375e-06,0.0160949797135868,5.00269801978573
"Tmem68",3.03444555202084,6.1389050647636,5.91549069581111,1.01213476530914e-05,0.017183817446434,3.51814186253677
"Fabp7",3.69234752056114,6.55735252073544,5.6689934415163,1.72739342980882e-05,0.017183817446434,3.03966771385946
"Mir103-2",3.02773298714153,5.6021921511532,5.58980360792242,2.05413723057802e-05,0.017183817446434,2.88412137571236
"Sft2d1",3.1092183393887,6.86297036383799,5.55390939233437,2.2224621357751e-05,0.017183817446434,2.8133336704806
"Npl",3.37341749258052,7.24444749818465,5.54853826344527,2.2488377167588e-05,0.017183817446434,2.80272613820923
"Gpr141",2.90066841937958,5.41985228724554,5.39330588218766,3.16690768607407e-05,0.017183817446434,2.49450322572645
"Gm17764",3.15154636568526,7.00143500804982,5.38807555388543,3.20379339518984e-05,0.017183817446434,2.48406361989363
"Trim30d",3.40794558348582,5.37134845838629,5.36578272520655,3.36599658892709e-05,0.017183817446434,2.43952879952401
"Sat1",3.28943402271529,6.96192700061058,5.2670967429927,4.19115120276537e-05,0.017183817446434,2.24163879700106
"Fam60a",2.63017545962866,7.69426895303586,5.1584256217374,5.34167123357168e-05,0.017183817446434,2.02237274063575
"Col6a5",2.72254560577288,5.85025908954922,5.15508721008153,5.38172135952342e-05,0.017183817446434,2.01561514687658
"Fam26f",3.09429638161229,6.24930806870168,5.13651100700767,5.61023080962095e-05,0.017183817446434,1.97799026999284
"Gm4983",2.90861785804263,6.31118159691745,5.11000616008021,5.95350460407311e-05,0.017183817446434,1.92423947069939
"Slc9b2",3.33746985586594,7.51492530962263,5.09157906588836,6.20470056191218e-05,0.017183817446434,1.8868242097372
"Gm5150",3.48283198766746,6.90329157976107,5.06571664722108,6.57557536330039e-05,0.017183817446434,1.83424941558653
"Olfr412",2.62554199126723,5.98284430231722,5.06158891315476,6.63682348044038e-05,0.017183817446434,1.82585160603861
"Olfr1446",2.51236271810928,4.15380587340155,5.05685003075386,6.7078563743111e-05,0.017183817446434,1.81620817258606
"Sycp2",3.26258452928001,4.86457006487165,5.05286918798179,6.76812448755535e-05,0.017183817446434,1.80810546354317
"4930433I11Rik",3.0434364747717,4.62325905349153,5.0459403397758,6.87434158999871e-05,0.017183817446434,1.79399828211015
"Olfr1420",2.45548239833391,4.93192095190762,5.03187658817803,7.09518078127747e-05,0.017183817446434,1.76534874875345
"Serpind1",2.61232886196961,6.5015512329872,5.01485892690527,7.37208367650717e-05,0.017183817446434,1.73065396739633
"Gm35586",2.63709526300877,5.22815981063315,4.99896453198868,7.6406357534644e-05,0.017183817446434,1.69822206428189
"Iars",2.99183759358422,7.35290755130368,4.97561018801778,8.05339787756485e-05,0.017183817446434,1.65052141847813
"Lsm7",3.45843174612369,8.83233077987522,4.97031651960013,8.15006813043378e-05,0.017183817446434,1.63970154395203
"Esco1",2.67360668357855,4.95544364792649,4.9616130239833,8.31157852339949e-05,0.017183817446434,1.62190610650643
"Tmem17",2.81832961469399,6.87144008446433,4.95779339985527,8.38348284362293e-05,0.017183817446434,1.61409399082204
"Snord87",3.41389508717302,5.67065997137414,4.95718529801848,8.39498855477567e-05,0.017183817446434,1.61285013156846
"Ms4a6b",3.57220004342596,7.53012482749604,4.91268439978913,9.28206026724821e-05,0.017183817446434,1.52172563708608
"Trem1",3.03430971092895,5.95676081155852,4.91074926379183,9.32272772063881e-05,0.017183817446434,1.51775868786181
"Larp7",3.20158485506028,7.49702689822486,4.90959387800497,9.34709474463137e-05,0.017183817446434,1.51539002302969
"Pter",2.75920838500615,6.67942372614297,4.88438867060944,9.89507667736422e-05,0.017183817446434,1.46368498439628
"Mir677",2.83918317928267,5.50137643918114,4.88131146883039,9.96417592547202e-05,0.017183817446434,1.45736841261068
"Ncapg",2.45576183901024,6.1119918683734,4.83099000112297,0.000111663023853282,0.017183817446434,1.35394940950334
"Eri2",2.70962117495224,4.8021523328309,4.81497934367981,0.000115788697375839,0.017183817446434,1.32099679453171
"Cenpp",2.79598252203414,4.96726732461086,4.80979374311295,0.000117157834071134,0.017183817446434,1.31031909722633
"Ecscr",2.58700786861268,8.04076127218371,4.79742153781475,0.000120491146481916,0.017183817446434,1.28483391774729
"Olfr597",2.61581190811342,3.98430900542745,4.78420078619762,0.000124159504507496,0.017183817446434,1.25758618160868
"Casp3",2.83559124704552,5.5780119801538,4.77676228866342,0.000126273049219521,0.017183817446434,1.24224898505467
"Tmem67",2.77078417635517,5.95002738221589,4.77292126546384,0.000127378668806614,0.017183817446434,1.23432746320116
"Smim20",2.47325098950599,5.84468108508383,4.77275524756165,0.000127426676936465,0.017183817446434,1.23398504855999
"G2e3",3.04965852100433,6.21081886983985,4.76139434105356,0.00013075592546302,0.017183817446434,1.21054748015767
"2210408I21Rik",2.67346499974459,4.52656968422138,4.74945051728459,0.000134351156908405,0.017183817446434,1.18589573160811
"Cd33",2.62997257617155,7.04277231380358,4.74563588962865,0.000135520390901854,0.017183817446434,1.17801995163497
"Snora33",3.21651930942662,6.17079229520696,4.74524931997461,0.000135639453715686,0.017183817446434,1.1772217630632
"Fam136a",3.27155548847218,6.68692067724473,4.7207362907032,0.000143410044969521,0.017183817446434,1.12658246233504
"Npm1",2.81133871443916,10.048627015329,4.72006715402367,0.000143628372414203,0.017183817446434,1.12519947313845
"Bcl2a1c",3.16441707119383,5.10264847097604,4.71177412549534,0.000146362357384583,0.017183817446434,1.10805626829938
"Extl2",2.44817547449747,6.72767121907544,4.68769199026354,0.000154604191890017,0.017183817446434,1.05824347808683
"Cd200r2",2.28780943663709,4.8904096098069,4.68678410409448,0.000154923940615156,0.017183817446434,1.05636467798517
"Clec4d",3.69752703059222,7.03720002625459,4.68361142248808,0.000156046596995041,0.017183817446434,1.04979856310831
"Igsf10",2.68335516355542,8.28151771598546,4.67843222735421,0.000157896989965391,0.017183817446434,1.03907815908993
"Yif1a",2.64640970055968,6.93797847567126,4.65109958763473,0.000168036705871614,0.017183817446434,0.98246897287687
"Caml",2.52484014037845,6.72420044433968,4.64474135257802,0.000170488472166125,0.017183817446434,0.969292379631777
"Slfn4",3.31528622010558,7.25134131918192,4.63906392333792,0.000172708301966669,0.017183817446434,0.957524181337337
