"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mfap4",8.93302169244289,7.68485175542337,13.7934016521955,9.67820035535145e-10,6.61021084270504e-06,11.9293411847536
"Itm2a",9.34817607313671,11.9784251099755,11.7961614695502,7.86313800610644e-09,1.48547077044962e-05,10.2234116756536
"Fbn2",8.56077569998773,7.59193645876713,11.4442363578429,1.17242557991865e-08,1.48547077044962e-05,9.88592794726783
"Cpxm1",5.56379903909215,8.17330939693207,11.4311932937291,1.19014109297716e-08,1.48547077044962e-05,9.87318754275357
"Jchain",-8.16837338073281,11.9687548167449,-11.4107518061003,1.21847955909556e-08,1.48547077044962e-05,9.8531864457399
"Dab2",5.98316402571011,10.4928082627081,11.3513626656642,1.30495236057068e-08,1.48547077044962e-05,9.79484079195418
"Fat4",6.55124849460748,7.97756329790992,11.1822951610306,1.58875739688962e-08,1.55017328867944e-05,9.6268024775197
"Cthrc1",9.06638418796652,11.0660730078699,10.5486440430857,3.39520408996653e-08,2.7683420044926e-05,8.97056478499889
"Nid2",7.99194520690992,7.80358053236451,10.4414240131382,3.87447528594385e-08,2.7683420044926e-05,8.85524481619856
"Ptn",9.55718459889409,8.06857217460861,10.4050001630361,4.05320937700235e-08,2.7683420044926e-05,8.81577902385035
"Lrrc17",7.34090447540597,7.32783786956446,10.3003385934507,4.6171834385588e-08,2.78606349246318e-05,8.70154948873027
"Adamts12",6.92205011781816,7.83596303251158,10.1679756739108,5.45219779048263e-08,2.78606349246318e-05,8.55531032735723
"Ndn",6.33289637840878,8.04002109880477,10.1526649622125,5.55864850308359e-08,2.78606349246318e-05,8.53826530252726
"C1qtnf6",4.71938202116479,8.57090924177641,10.1313098520867,5.71081828616172e-08,2.78606349246318e-05,8.5144461658062
"Plagl1",6.20558323847004,11.0527835943438,10.068059101037,6.18799736872584e-08,2.81760146855983e-05,8.44358835123303
"Nrep",7.41650704071967,11.0549215318882,9.95058062104299,7.19000411342161e-08,3.06923300591685e-05,8.31074566122131
"Col10a1",10.0482332821335,10.2251170279792,9.8225082591223,8.48118771267454e-08,3.34603554674536e-05,8.16407252245277
"Nid1",5.88307264238551,10.5877238185172,9.79246973734211,8.81824887868471e-08,3.34603554674536e-05,8.12938885932677
"Rian",8.6069469663789,8.02521570492463,9.65438139031503,1.0560812075314e-07,3.62858957239602e-05,7.96855058717021
"Clec1b",-4.74914855768246,11.4171965383612,-9.61997799513057,1.10494174725179e-07,3.62858957239602e-05,7.92811974452294
"Alox12",-4.14642413345643,10.1887501619724,-9.54316451532159,1.22288265656764e-07,3.62858957239602e-05,7.83732626699548
"Gcsam",-5.64158830542179,7.54312670278684,-9.52446513923303,1.25356560884041e-07,3.62858957239602e-05,7.81511389414399
